"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2021","42,338.5","40,676.2","42,748.0","40,600.0","1.86K","4.20%"
"Sep 21, 2021","40,632.0","42,992.9","43,624.7","39,619.6","7.26K","-5.49%"
"Sep 20, 2021","42,993.0","47,237.8","47,301.2","42,519.4","5.76K","-8.99%"
"Sep 19, 2021","47,237.8","48,309.9","48,378.9","46,851.2","1.22K","-2.20%"
"Sep 18, 2021","48,300.5","47,269.7","48,800.0","47,078.0","1.28K","2.18%"
"Sep 17, 2021","47,269.7","47,786.9","48,185.9","46,745.7","2.01K","-1.08%"
"Sep 16, 2021","47,786.9","48,152.3","48,485.8","47,036.7","2.37K","-0.74%"
"Sep 15, 2021","48,145.5","47,118.7","48,458.8","46,744.0","2.16K","2.28%"
"Sep 14, 2021","47,073.1","44,965.8","47,260.0","44,707.5","2.11K","4.69%"
"Sep 13, 2021","44,965.8","46,061.3","46,857.0","43,477.7","3.67K","-2.38%"
"Sep 12, 2021","46,061.7","45,137.4","46,420.4","44,770.0","1.20K","2.05%"
"Sep 11, 2021","45,137.4","44,842.2","45,992.4","44,741.0","1.24K","0.66%"
"Sep 10, 2021","44,841.6","46,389.6","47,034.2","44,200.0","3.30K","-3.34%"
"Sep 09, 2021","46,391.9","46,060.0","47,399.0","45,566.4","2.33K","0.72%"
"Sep 08, 2021","46,060.0","46,882.1","47,362.4","44,444.0","3.49K","-1.62%"
"Sep 07, 2021","46,820.0","52,688.3","52,900.0","42,000.0","8.79K","-11.14%"
"Sep 06, 2021","52,687.4","51,767.9","52,794.9","51,034.5","2.98K","1.78%"
"Sep 05, 2021","51,767.9","49,956.1","51,890.9","49,517.9","1.81K","3.63%"
"Sep 04, 2021","49,956.1","50,018.6","50,559.5","49,410.0","1.60K","-0.13%"
"Sep 03, 2021","50,023.0","49,290.3","51,000.0","48,356.0","3.63K","1.49%"
"Sep 02, 2021","49,290.3","48,872.2","50,372.8","48,622.0","3.44K","0.86%"
"Sep 01, 2021","48,872.1","47,140.0","49,115.6","46,550.0","2.58K","3.67%"
"Aug 31, 2021","47,140.0","46,985.7","48,248.0","46,715.0","2.21K","0.33%"
"Aug 30, 2021","46,985.7","48,787.7","48,900.0","46,861.6","2.53K","-3.69%"
"Aug 29, 2021","48,787.3","48,895.7","49,653.9","47,809.0","2.23K","-0.22%"
"Aug 28, 2021","48,895.7","49,074.9","49,314.0","48,406.2","1.30K","-0.36%"
"Aug 27, 2021","49,073.0","46,846.7","49,169.2","46,386.4","2.67K","4.76%"
"Aug 26, 2021","46,841.8","48,991.3","49,350.0","46,329.1","3.19K","-4.39%"
"Aug 25, 2021","48,991.3","47,725.4","49,245.0","47,154.7","2.61K","2.65%"
"Aug 24, 2021","47,725.4","49,517.3","49,867.0","47,601.1","3.15K","-3.62%"
"Aug 23, 2021","49,519.7","49,293.6","50,500.0","49,060.1","3.12K","0.46%"
"Aug 22, 2021","49,293.6","48,865.4","49,531.5","48,058.1","1.74K","0.88%"
"Aug 21, 2021","48,865.4","49,345.4","49,790.0","48,281.5","2.70K","-0.97%"
"Aug 20, 2021","49,345.4","46,770.8","49,400.0","46,666.7","3.54K","5.51%"
"Aug 19, 2021","46,767.2","44,714.7","47,054.4","44,000.0","2.63K","4.51%"
"Aug 18, 2021","44,750.1","44,672.3","46,000.0","44,250.1","3.21K","0.18%"
"Aug 17, 2021","44,668.3","45,926.3","47,172.3","44,423.3","3.29K","-2.75%"
"Aug 16, 2021","45,933.3","47,019.3","48,055.4","45,697.4","2.74K","-2.31%"
"Aug 15, 2021","47,019.3","47,115.2","47,385.0","45,550.0","2.10K","-0.19%"
"Aug 14, 2021","47,109.3","47,823.2","48,164.0","46,059.0","2.97K","-1.49%"
"Aug 13, 2021","47,821.6","44,401.1","47,898.5","44,260.9","3.82K","7.70%"
"Aug 12, 2021","44,401.1","45,577.6","46,195.2","43,813.0","3.57K","-2.58%"
"Aug 11, 2021","45,577.6","45,595.1","46,736.3","45,373.5","3.50K","-0.06%"
"Aug 10, 2021","45,606.8","46,307.1","46,688.0","44,666.0","3.10K","-1.51%"
"Aug 09, 2021","46,307.1","43,845.6","46,484.0","42,827.7","5.65K","5.61%"
"Aug 08, 2021","43,849.2","44,610.7","45,340.7","43,320.0","3.67K","-1.67%"
"Aug 07, 2021","44,595.5","42,823.9","44,721.8","42,495.0","4.62K","4.14%"
"Aug 06, 2021","42,823.9","40,886.4","43,369.7","39,900.0","5.19K","4.73%"
"Aug 05, 2021","40,890.0","39,749.0","41,403.5","37,356.7","4.72K","2.87%"
"Aug 04, 2021","39,749.3","38,163.0","39,950.0","37,542.0","3.28K","4.16%"
"Aug 03, 2021","38,163.0","39,188.0","39,791.1","37,672.5","2.95K","-2.62%"
"Aug 02, 2021","39,188.0","39,889.1","40,440.8","38,700.0","3.50K","-1.76%"
"Aug 01, 2021","39,889.1","41,454.1","42,598.1","39,443.8","3.45K","-3.82%"
"Jul 31, 2021","41,475.2","42,209.9","42,381.2","41,071.5","2.95K","-1.78%"
"Jul 30, 2021","42,228.2","40,000.0","42,306.8","38,345.1","5.12K","5.57%"
"Jul 29, 2021","39,999.9","40,011.0","40,625.0","39,275.3","3.20K","-0.03%"
"Jul 28, 2021","40,011.0","39,506.2","40,891.5","38,812.1","7.23K","1.23%"
"Jul 27, 2021","39,524.3","37,274.9","39,524.3","36,406.8","5.03K","6.03%"
"Jul 26, 2021","37,274.9","35,413.6","40,533.0","35,257.3","10.29K","5.26%"
"Jul 25, 2021","35,413.6","34,748.5","35,428.9","33,877.0","2.19K","4.64%"
"Jul 24, 2021","33,844.2","33,667.5","34,042.5","33,431.8","0.97K","0.68%"
"Jul 23, 2021","33,615.5","32,283.3","33,631.0","32,025.7","2.34K","4.13%"
"Jul 22, 2021","32,283.3","32,125.0","32,601.0","31,729.0","2.67K","0.49%"
"Jul 21, 2021","32,125.0","29,788.1","32,800.0","29,505.0","5.66K","7.84%"
"Jul 20, 2021","29,788.2","30,820.5","33,592.3","29,288.6","4.98K","-3.35%"
"Jul 19, 2021","30,820.5","31,780.1","31,886.9","30,427.1","3.01K","-3.02%"
"Jul 18, 2021","31,780.1","31,510.0","32,440.4","31,133.5","1.75K","0.86%"
"Jul 17, 2021","31,510.0","31,405.9","31,934.4","31,184.8","2.49K","0.33%"
"Jul 16, 2021","31,405.9","31,832.6","32,250.0","31,050.1","3.55K","-1.34%"
"Jul 15, 2021","31,832.6","32,815.2","33,188.3","31,150.1","3.35K","-2.99%"
"Jul 14, 2021","32,815.2","32,722.9","33,091.6","31,602.4","3.41K","0.28%"
"Jul 13, 2021","32,723.0","33,107.3","33,329.7","32,204.0","2.83K","-1.17%"
"Jul 12, 2021","33,110.1","34,246.9","34,652.3","32,678.0","2.41K","-3.25%"
"Jul 11, 2021","34,223.0","33,522.2","34,591.7","33,335.5","1.47K","2.09%"
"Jul 10, 2021","33,522.2","33,791.0","34,250.0","32,968.2","2.92K","-0.80%"
"Jul 09, 2021","33,791.0","32,803.5","34,088.0","32,274.2","2.70K","2.84%"
"Jul 08, 2021","32,857.7","33,885.1","33,946.8","32,112.7","5.38K","-3.03%"
"Jul 07, 2021","33,885.1","34,235.0","35,065.4","33,825.5","3.12K","-0.76%"
"Jul 06, 2021","34,145.7","33,697.5","34,796.9","33,697.5","1.93K","1.33%"
"Jul 05, 2021","33,697.5","35,305.0","35,305.0","33,697.5","3.95K","-4.55%"
"Jul 04, 2021","35,305.0","35,502.1","35,539.3","35,305.0","1.58K","1.56%"
"Jul 03, 2021","34,761.4","33,802.9","34,761.4","33,689.5","2.41K","2.82%"
"Jul 02, 2021","33,808.4","33,532.4","33,808.4","33,532.4","2.76K","0.74%"
"Jul 01, 2021","33,560.2","35,046.2","35,046.2","33,267.4","4.02K","-4.24%"
"Jun 30, 2021","35,046.2","35,903.3","35,903.3","34,771.5","5.22K","-2.29%"
"Jun 29, 2021","35,867.7","34,475.9","36,425.2","34,475.9","4.47K","4.05%"
"Jun 28, 2021","34,472.0","34,649.1","34,649.1","34,158.3","3.68K","-0.51%"
"Jun 27, 2021","34,649.1","32,275.9","34,649.1","32,275.9","4.21K","7.29%"
"Jun 26, 2021","32,294.7","31,580.6","32,294.7","31,067.3","5.16K","2.22%"
"Jun 25, 2021","31,593.4","34,666.6","34,666.6","31,593.4","6.44K","-8.83%"
"Jun 24, 2021","34,652.2","33,683.3","35,142.9","32,830.5","4.82K","2.92%"
"Jun 23, 2021","33,667.6","32,543.5","34,077.2","32,543.5","6.29K","3.54%"
"Jun 22, 2021","32,516.2","31,655.2","32,818.8","29,787.5","16.19K","2.72%"
